"CVE_GEOEST","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"010060314","22°06'40.000""N","102°17'20.000""W","1880","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060319","22°05'18.000""N","102°15'36.000""W","1905","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060337","22°03'15.000""N","102°18'34.000""W","1910","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010070119","22°17'35.000""N","102°20'55.000""W","2050","F13B78","R","Aguascalientes","Rincón de Romos"
"010070127","22°08'43.000""N","102°20'38.000""W","1940","F13B88","R","Aguascalientes","Rincón de Romos"
"010070135","22°10'30.000""N","102°20'24.000""W","1930","F13B88","R","Aguascalientes","Rincón de Romos"
"010070149","22°10'30.000""N","102°19'09.000""W","1900","F13B89","R","Aguascalientes","Rincón de Romos"
"010070150","22°10'25.000""N","102°18'37.000""W","1900","F13B89","R","Aguascalientes","Rincón de Romos"
"010070154","22°20'38.000""N","102°26'35.000""W","2410","F13B78","R","Aguascalientes","Rincón de Romos"
"010070158","22°10'31.000""N","102°19'36.000""W","1900","F13B89","R","Aguascalientes","Rincón de Romos"
"010070166","22°10'55.000""N","102°17'05.000""W","1910","F13B89","R","Aguascalientes","Rincón de Romos"
"010070171","22°11'29.000""N","102°17'37.000""W","1900","F13B89","R","Aguascalientes","Rincón de Romos"
"010080081","22°01'50.000""N","102°31'37.000""W","2290","F13B88","R","Aguascalientes","San José de Gracia"
"010080089","22°00'14.000""N","102°33'54.000""W","2385","F13B88","R","Aguascalientes","San José de Gracia"
"010080090","22°01'38.000""N","102°32'13.000""W","2370","F13B88","R","Aguascalientes","San José de Gracia"
"010080091","22°07'13.000""N","102°41'22.000""W","2660","F13B87","R","Aguascalientes","San José de Gracia"
"010110023","22°03'43.000""N","102°16'51.000""W","1870","F13B89","R","Aguascalientes","San Francisco de los Romo"
"010110027","22°03'54.000""N","102°16'56.000""W","1870","F13B89","R","Aguascalientes","San Francisco de los Romo"
"010110040","21°59'26.000""N","102°16'11.000""W","1860","F13D19","R","Aguascalientes","San Francisco de los Romo"
"010110041","21°59'30.000""N","102°13'48.000""W","1920","F13D19","R","Aguascalientes","San Francisco de los Romo"
"010110044","22°02'45.000""N","102°16'00.000""W","1900","F13B89","R","Aguascalientes","San Francisco de los Romo"
"010110054","21°57'35.000""N","102°16'07.000""W","1920","F13D19","R","Aguascalientes","San Francisco de los Romo"
